Year,USD to INR,Aver GLD per gram,GLD INR per 10g
1925,2.76,1.875,18.75
1926,2.75,1.843,18.43
1927,2.75,1.837,18.37
1928,2.74,1.837,18.37
1929,2.76,1.843,18.43
1930,2.77,1.805,18.05
1931,2.97,1.818,18.18
1932,3.8,2.306,23.06
1933,3.14,2.405,24.05
1934,2.64,2.881,28.81
1935,2.71,3.081,30.81
1936,2.67,2.981,29.81
1937,2.68,3.018,30.18
1938,2.73,2.993,29.93
1939,3.0,3.174,31.74
1940,3.32,3.604,36.04
1941,3.32,3.743,37.43
1942,3.32,4.405,44.05
1943,3.32,5.105,51.05
1944,3.32,5.293,52.93
1945,3.32,6.2,62.0
1946,3.32,8.387,83.87
1947,3.32,8.862,88.62
1948,3.31,9.587,95.87
1949,4.76,9.417,94.17
1950,4.76,9.918,99.18
1951,4.76,9.805,98.05
1952,4.76,7.681,76.81
1953,4.76,7.306,73.06
1954,4.76,7.775,77.75
1955,4.76,7.918,79.18
1956,4.76,9.081,90.81
1957,4.76,9.062,90.62
1958,4.76,9.538,95.38
1959,4.76,10.256,102.56
1960,4.76,11.187,111.87
1961,4.76,11.935,119.35
1962,4.76,11.975,119.75
1963,4.76,9.7,97.0
1964,4.76,6.325,63.25
1965,4.76,7.175,71.75
1966,6.36,8.375,83.75
1967,7.5,10.25,102.5
1968,7.5,16.2,162.0
1969,7.5,17.6,176.0
1970,7.5,18.4,184.0
1971,7.49,19.3,193.0
1972,7.59,20.2,202.0
1973,7.74,27.85,278.5
1974,8.1,50.6,506.0
1975,8.39,54.0,540.0
1976,8.97,43.2,432.0
1977,8.53,48.6,486.0
1978,8.2,68.5,685.0
1979,8.16,93.7,937.0
1980,7.86,133.0,1330.0
1981,8.66,180.0,1800.0
1982,9.46,164.5,1645.0
1983,10.11,180.0,1800.0
1984,11.36,197.0,1970.0
1985,12.37,213.0,2130.0
1986,12.61,214.0,2140.0
1987,12.96,257.0,2570.0
1988,13.92,313.0,3130.0
1989,16.23,314.0,3140.0
1990,17.5,320.0,3200.0
1991,22.74,346.6,3466.0
1992,25.92,433.4,4334.0
1993,30.49,414.0,4140.0
1994,31.37,459.8,4598.0
1995,32.43,468.0,4680.0
1996,35.43,516.0,5160.0
1997,36.31,472.5,4725.0
1998,41.26,404.5,4045.0
1999,43.06,423.4,4234.0
2000,44.31,440.0,4400.0
2001,47.19,430.0,4300.0
2002,48.61,499.0,4990.0
2003,46.58,560.0,5600.0
2004,45.32,630.7,6307.0
2005,44.11,763.8,7638.0
2006,45.31,926.5,9265.0
2007,41.35,1059.8,10598.0
2008,43.51,1363.0,13630.0
2009,48.41,1668.6,16686.0
2010,45.73,2072.8,20728.0
2011,46.67,2732.9,27329.0
2012,53.44,3085.6,30856.0
2013,58.62,2042.2,20422.0
2014,61.03,2670.3,26703.0
2015,64.15,2493.1,24931.0
2016,67.21,2744.5,27445.0
2017,65.12,2915.6,29156.0
2018,68.41,3139.1,31391.0
2019,70.39,3910.8,39108.0
2020,74.1,5015.1,50151.0
2021,73.5,4809.9,48099.0
2022,78.65,5501.7,55017.0
2023,82.5,6320.3,63203.0
2024,85.61,7824.5,78245.0
2025,87.16,9645.0,96450.0
